t1,t2,t3,eig
FFFT,FTFT,TTFT,0.8716
FFFT,FTFT,TTTF,0.8716
FFFT,FTFT,TTTT,0.9815
FFFT,FTTF,FFFF,0.9616
FFFT,FTTF,FFFT,0.7265
FFFT,FTTF,FFTF,0.7265
FFFT,FTTF,FFTT,0.7224
FFFT,FTTF,FTFF,0.7265
FFFT,FTTF,FTFT,0.8396
FFFT,FTTF,FTTF,0.7224
FFFT,FTTF,FTTT,0.7710
FFFT,FTTF,TFFF,0.7710
FFFT,FTTF,TFFT,0.7224
FFFT,FTTF,TFTF,0.8396
FFFT,FTTF,TFTT,0.7265
FFFT,FTTF,TTFF,0.7224
FFFT,FTTF,TTFT,0.7265
FFFT,FTTF,TTTF,0.7265
FFFT,FTTF,TTTT,0.9616
FFFT,FTTT,FFFF,0.9627
FFFT,FTTT,FFFT,0.7822
FFFT,FTTT,FFTF,0.7822
FFFT,FTTT,FFTT,0.7710
FFFT,FTTT,FTFF,0.7822
FFFT,FTTT,FTFT,0.8708
FFFT,FTTT,FTTF,0.7710
FFFT,FTTT,FTTT,0.7914
FFFT,FTTT,TFFF,0.7914
FFFT,FTTT,TFFT,0.7710
FFFT,FTTT,TFTF,0.8708
FFFT,FTTT,TFTT,0.7822
FFFT,FTTT,TTFF,0.7710
FFFT,FTTT,TTFT,0.7822
FFFT,FTTT,TTTF,0.7822
FFFT,FTTT,TTTT,0.9627
FFFT,TFFF,FFFF,0.9627
FFFT,TFFF,FFFT,0.7822
FFFT,TFFF,FFTF,0.7822
FFFT,TFFF,FFTT,0.7710
FFFT,TFFF,FTFF,0.7822
FFFT,TFFF,FTFT,0.8708
FFFT,TFFF,FTTF,0.7710
FFFT,TFFF,FTTT,0.7914
FFFT,TFFF,TFFF,0.7914
FFFT,TFFF,TFFT,0.7710
FFFT,TFFF,TFTF,0.8708
FFFT,TFFF,TFTT,0.7822
FFFT,TFFF,TTFF,0.7710
FFFT,TFFF,TTFT,0.7822
FFFT,TFFF,TTTF,0.7822
FFFT,TFFF,TTTT,0.9627
FFFT,TFFT,FFFF,0.9616
FFFT,TFFT,FFFT,0.7265
FFFT,TFFT,FFTF,0.7265
FFFT,TFFT,FFTT,0.7224
FFFT,TFFT,FTFF,0.7265
FFFT,TFFT,FTFT,0.8396
FFFT,TFFT,FTTF,0.7224
FFFT,TFFT,FTTT,0.7710
FFFT,TFFT,TFFF,0.7710
FFFT,TFFT,TFFT,0.7224
FFFT,TFFT,TFTF,0.8396
FFFT,TFFT,TFTT,0.7265
FFFT,TFFT,TTFF,0.7224
FFFT,TFFT,TTFT,0.7265
FFFT,TFFT,TTTF,0.7265
FFFT,TFFT,TTTT,0.9616
FFFT,TFTF,FFFF,0.9815
FFFT,TFTF,FFFT,0.8716
FFFT,TFTF,FFTF,0.8716
FFFT,TFTF,FFTT,0.8396
FFFT,TFTF,FTFF,0.8716
FFFT,TFTF,FTFT,0.8561
FFFT,TFTF,FTTF,0.8396
FFFT,TFTF,FTTT,0.8708
FFFT,TFTF,TFFF,0.8708
FFFT,TFTF,TFFT,0.8396
FFFT,TFTF,TFTF,0.8561
FFFT,TFTF,TFTT,0.8716
FFFT,TFTF,TTFF,0.8396
FFFT,TFTF,TTFT,0.8716
FFFT,TFTF,TTTF,0.8716
FFFT,TFTF,TTTT,0.9815
FFFT,TFTT,FFFF,0.9669
FFFT,TFTT,FFFT,0.7131
FFFT,TFTT,FFTF,0.7131
FFFT,TFTT,FFTT,0.7265
FFFT,TFTT,FTFF,0.7131
FFFT,TFTT,FTFT,0.8716
FFFT,TFTT,FTTF,0.7265
FFFT,TFTT,FTTT,0.7822
FFFT,TFTT,TFFF,0.7822
FFFT,TFTT,TFFT,0.7265
FFFT,TFTT,TFTF,0.8716
FFFT,TFTT,TFTT,0.7131
FFFT,TFTT,TTFF,0.7265
FFFT,TFTT,TTFT,0.7131
FFFT,TFTT,TTTF,0.7131
FFFT,TFTT,TTTT,0.9669
FFFT,TTFF,FFFF,0.9616
FFFT,TTFF,FFFT,0.7265
FFFT,TTFF,FFTF,0.7265
FFFT,TTFF,FFTT,0.7224
FFFT,TTFF,FTFF,0.7265
FFFT,TTFF,FTFT,0.8396
FFFT,TTFF,FTTF,0.7224
FFFT,TTFF,FTTT,0.7710
FFFT,TTFF,TFFF,0.7710
