loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
1	0.994153778963118	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	25	0.994153778963118	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are on? in [0, 1]	0.00012444576449044726	0.2	-10.203242493181008
1	0.9933557548371179	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	26	0.9933557548371179	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not on. What proportion are bright? in [0, 1]	0.00003702336130272037	0.7000000000000001	-10.203242493181008
1	0.9932987664560426	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	27	0.9932987664560426	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are on? in [0, 1]	3.737750171136006e-7	0.2	-10.203242493181008
1	0.05263157894736844	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	1	0.05263157894736844	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]	0.2864898038600704	0.5	-10.096643823309961
1	0.0758982754279251	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	2	0.07745664476966048	[{"bright":[],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.3175579315192305	0.2	-10.096643823309961
1	0.11081014939883925	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	3	0.11910152974526267	[{"bright":[],"hot":["on"],"on":["bright"]}]	Imagine 100 lightbulbs that are bright and not hot. What proportion are on? in [0, 1]	0.2802759223125479	0.5	-10.096643823309961
1	0.10541777673559752	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	4	0.17306536350896792	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.29843385246048926	0.9	-10.096643823309961
1	0.17602977846566023	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	5	0.23285877346139494	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and on. What proportion are bright? in [0, 1]	0.24737663354209588	0.9	-10.096643823309961
1	0.23053494804609173	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	6	0.3049602499640239	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not bright and on. What proportion are hot? in [0, 1]	0.23001146090649224	0.9	-10.096643823309961
1	0.3513996526271259	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	7	0.3513996526271259	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright and on. What proportion are hot? in [0, 1]	0.23850600901777802	0.9	-10.096643823309961
