skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
0	0.07660429497027993	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	2	0.0772428624924369	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not bright and on. What proportion are hot? in [0, 1]	0.3210165814224224	0.6000000000000001	-8.094572820998497
0	0.11908419723530247	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	3	0.12107782556501792	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.2927908225355219	0.6000000000000001	-8.094572820998497
0	0.17210725604187244	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	4	0.17644725232509434	[{"bright":[],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.3303878303047955	0.999999	-8.094572820998497
0	0.36285317085137414	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	5	0.36285317085137414	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.304072529612732	0.999999	-8.094572820998497
0	0.4918225883969075	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	6	0.4918225883969075	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are bright and on. What proportion are hot? in [0, 1]	0.19805503479191264	0.6000000000000001	-8.094572820998497
0	0.6119005794056234	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	7	0.6119005794056234	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are on? in [0, 1]	0.18413777444945503	0.4	-8.094572820998497
0	0.7825800231273728	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	8	0.7825800231273728	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot. What proportion are bright? in [0, 1]	0.11741535797461146	0.7000000000000001	-8.094572820998497
0	0.8574858922553574	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	9	0.8574858922553574	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.10100187106565676	0.999999	-8.094572820998497
0	0.8994867301006582	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	10	0.8994867301006582	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are bright and on. What proportion are hot? in [0, 1]	0.07099485973235872	0.6000000000000001	-8.094572820998497
0	0.9432891116959675	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	11	0.9432891116959675	[{"bright":["on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.03431154724535445	0.999999	-8.094572820998497
